v1,v2
spam,"Hello from Ornge. For 1 month's free ccess  gmes, news nd sport, pls 10 free texts nd 20 pho messges, reply YES. Terms pply: www.ornge.co.k/ow"
ham,fter completed degree. There is no se in joining finnce.
ham,"Good fternoon, my love ! ny job prospects ? re yo missing me ? Wht do yo do ? re yo being lzy nd blek, hmmm ? Or hppy nd filled with my love ?"
ham,Shnt distrb  nymore... Ji yo...
ham,Bishn lr nerer... No need by so erly cos if by now i gott prk my cr...
ham,"Me, i dont know gin oh"
ham,Dde sx for snke. He got old nd riden got bff
ham,He sys hi nd  get yor ss bck  soth tmp (preferbly t  kegger)
ham,In e msg js now.  sid thnks for gift.
ham, o...
ham,Ok how yo der. Did yo cll chechi
ham,Yeh we do tes. When  wnn?
ham,Ok i fond dis pierre crdin one which looks norml costs 20 its on sle.
ham,Good sleep is bot rhythm. The person hs  estblish  rhythm tht the body will lern nd se. If yo wnt  know more :-)
ham,Wt r  doing?
ham,Messge from . I m t Trro Hospitl on ext. Yo cn phone me here. s I hve  phone by my side
ham,"Single line with  big mening::::: \Miss nything 4 r \""Best Life\"" bt"
ham,"Jst got some gs money, ny chnce yo nd the gng wnt  go on  grnd ntre dventre?"
ham,Dnt worry...se ice pieces in  cloth pck.lso tke 2 tblets.
ham,Dde jst sw  prked cr with its snroof popped p. Sx
ham,Get redy  pt on yor excellent sb fce :)
ham,Tmrw. Im finishing 9 doors
ham,"The  &lt;#&gt; g tht i sw  few dys go, the gy wnts sell wifi only for  &lt;#&gt;  nd with 3g for  &lt;#&gt; . Tht's why i blnked him."
ham,I m lte. I will be there t
ham,"whtever, im pretty pissed off."
ham,dy is CCEPT DY.. ccept me s? Brother Sister Lover Der1 Best1 Clos1 Lvblefrnd Jstfrnd Ctefrnd Lifprtnr Belovd Swthert Bstfrnd No rply mens enemy
ham,I dont hve tht mch imge in clss.
ham,No:-)i got rmor tht yo going  by prtment in chenni:-)
ham,Ner klinr tv office.thenmpet
spam,r csh-blnce is crrently 500 ponds -  mximize r csh-in now send GO  86688 only 150p/msg. CC 08718720201 HG/Site342/2Lnds Row/W1J6HL
spam,SMS CTION -  BRND NEW Noki 7250 is p 4 ction dy! ction is FREE 2 join & tke prt! Txt NOKI  86021 now! HG/Site342/2Lnds Row/W1J6HL
ham,My sis is ctching e show in e fternoon so i'm not wtching w her. So c  wn 2 wtch dy or tmr lor.
ham,"Sonds gd... Hh... Cn... Wh,  yn ji so fst lio..."
ham,No.  be nosy I gess. Idk m I over recting if I'm freked?
ham,"Remember ll those whom i hrt dring dys of stnic imposter in me.need  py  price,so be it.my destiny keep me going nd s  sid pry tht i get the mind  get over the sme."
ham,How  Mke  girl Hppy? It's not t ll difficlt  mke girls hppy.  only need  be... 1.  friend 2. Compnion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Orgnizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clen  &lt;#&gt; . Sympthetic  &lt;#&gt; . thletic  &lt;#&gt; . Wrm . . .  &lt;#&gt; . Corgeos  &lt;#&gt; . Determined  &lt;#&gt; . Tre  &lt;#&gt; . Dependble  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminr  &lt;#&gt; . Psychitrist  &lt;#&gt; . Heler . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . niye pdng venm..
ham,"Why is tht, princess? I bet the broths re ll chsing yo!"
ham,"I shll book chez jles for hlf eight, if tht's ok with yo?"
ham,Hhhhhhh rofl wtf nig ws leonrdo in yor room or something
ham,"Yep, t derek's hose now, see yo Sndy &lt;3"
ham,"It's cool, let me know before it kicks off rond  &lt;#&gt; , I'll be ot nd bot ll dy"
ham,"Sorry, I'll cll lter"
ham,I ws wondering if it wold be oky for yo  cll ncle john nd let him know tht things re not the sme in nigeri s they r here. Tht  &lt;#&gt;  dollrs is 2yers sent nd tht yo know its  strin bt i pln  py bck every dime he gives. Every dime so for me  expect nything from yo is not prcticl. Something like tht.
ham,There re no other chrges fter trnsfer chrges nd yo cn withdrw nyhow yo like
ham,"Dont serch love, let love find . Thts why its clled flling in love, bcoz  dont force yorself,  jst fll nd  know there is smeone  hold ... BSLVYL"
ham,t 4. Let's go  bill millers
ham,I love yo. Yo set my sol on fire. It is not jst  sprk. Bt it is  flme.  big rwring flme. XoXo
ham,"Somewhr someone is srely mde 4 . nd God hs decided  perfect time  mke  meet dt person. . . . till den, . . . . . Enjoy r crshes..!!!;-)"
ham,Tht's my honeymoon otfit. :)
ham,Will it help if we propose going bck gin morrow
spam,PRIVTE! Yor 2003 ccont Sttement for shows 800 n-redeemed S. I. M. points. Cll 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,Never blme  dy in r life. Good dys give  hppiness. Bd dys give  experience. Both re essentil in life! ll re Gods blessings! good morning.:
ham,Pls confirm the time  collect the cheqe.
spam,s  Registered Sbscriber yr drw 4  еЈ100 gift vocher will b entered on receipt of  correct ns. When re the next olympics. Txt ns  80062
spam,RGENT! Yor Mobile nmber hs been wrded with  еЈ2000 prize GRNTEED. Cll 09061790121 from lnd line. Clim 3030. Vlid 12hrs only 150ppm
ham,Dddy will tke good cre of yo :)
ham,"Yeh probbly, I still gott check ot with leo"
ham,K.then ny other specil?
ham,Crlos is tking his sweet time s sl so let me know when yo nd ptty re done/wnt  smoke nd I'll tell him  hl ss
ham,Ok p. Nothing problem:-)
ham,Hve yo herd bot tht job? I'm going  tht wildlife tlk gin night if  wnt2come. Its tht2worzels nd  wizzle or whtever it is?! 
ham,"God picked p  flower nd dippeditinDEW, lovingly ched itwhichtrnedin , nd the he gifted mendsid,THIS FRIEND IS 4"
ham,When yo cme  hostel.
ham,Ok no prob... I'll come fter lnch then...
ham,Js telling  dt i'll b leving 4 shnghi on 21st insted so we'll hf more time 2 meet p cy...
ham,re yor freezing ? re yo home yet ? Will yo remember  kiss yor mom in the morning? Do yo love me ? Do yo think of me ? re yo missing me yet ?
ham,Yo ll redy for * big dy morrow?
ham,I'll probbly be rond m  lot
ham,645
spam,RT-KIng Pro Video Clb>> Need help? info@ringneking.co.k or cll 08701237397 Yo mst be 16+ Clb credits redeemble t www.ringneking.co.k! Enjoy!
ham,Thnx dde.  gys ot 2nite?
ham,Me sef dey lgh yo. Menwhile how's my drling njie!
ham,Mm i hd my food d from ot
ham,"K, mkes sense, btw crlos is being difficlt so yo gys re gonn smoke while I go pick p the second btch nd get gs"
ham,Did  downlod the fring pp?
ham,The 2 oz gy is being kind flky bt one friend is interested in picking p $ &lt;#&gt;  worth night if possible
ham,Friends tht  cn sty on fb cht with
ham,"Fck bbe, I miss yo sooooo mch !! I wish yo were here  sleep with me ... My bed is so lonely ... I go now,  sleep ...  drem of yo, my love ..."
ham,"Living is very simple.. Loving is lso simple.. Lghing is o simple.. Winning is oo simple.. Bt, being 'SIMPLE' is very difficlt.. Gd nte.:-"
spam, hve  secret dmirer who is looking 2 mke contct with -find ot who they R*revel who thinks R so specil-cll on 09058094599
ham,"h, well tht confses things, doesn‰Ычt it?"
spam,500 free text msgs. Jst text ok  80488 nd we'll credit yor ccont
ham,Hi Der Cll me its rgnt. I don't know whts yor problem. Yo don't wnt  work or if yo hve ny other problem t lest tell me. Wting for yor reply.
ham,Der how yo. re yo ok?
spam,"Yo hve been selected  sty in 1 of 250 p British hotels - FOR NOTHING! Holidy Worth еЈ350!  Clim, Cll London 02072069400. Bx 526, SW73SS"
ham,Yes princess! I wnt  mke yo hppy...
ham,Sonds like yo hve mny tlents! wold yo like  go on  dinner dte next week?
ham,I m going  film 2dy d. t 6pm. Sorry d.
ham,We not wtching movie lredy. Xy wnts 2 shop so i'm shopping w her now.
ham,Hello my little prty niml! I jst thoght I'd bzz yo s yo were with yor friends ...*grins*... Reminding yo were loved nd send  nghty doring kiss
ham,Yesterdy its with me only . Now m going home.
spam,"Eerie Noki nes 4, rply NE TITLE  8007 eg NE DRCL  8007 Titles: GHOST, DDMSF, MNSTERS, EXORCIST, TWILIGHT www.getzed.co.k POBox36504W45WQ 150p"
ham,"Yo hve come in my life nd broght the sn ..Shiny down on me, wrming my hert. Ptting  constnt smile on my fce ... Mking me feel loved nd cred for"
ham,"No shit, bt I wsn't tht srprised, so I went nd spent the evening with tht french gy I met in wn here nd we fooled rond  bit bt I didn't let him fck me"
spam,"0$NETWORKS llow compnies  bill for SMS, so they re responsible for their \sppliers\"""
ham,Gret comedy..cnt sp lghing d:)
spam,FreeMsg:Feelin kind lnly hope  like 2 keep me compny! Jst got  cm moby wnn c my pic?Txt or reply DTE  82242 Msg150p 2rcv Hlp 08712317606 sp  82242
ham,"lright, we're ll set here, text the mn"
ham,"Hi , where re yo? We're t  nd they're not keen  go ot i kind of m bt feel i sholdn't so cn we go ot mo, don't mind do yo?"
ham,Sleeping nt feeling well
ham, WILL SWITCH YOR FONE ON DMMIT!!
ham,Indi hve  tke led:)
ham,I.ll post her ot l8r. In clss
ham,Thts wt Wright Brother did  fly..
ham,"Evening * v good if somewht event lden. Will fill yo in, don't yo worry ‰Ы_ Hed * ok bt throt * wrecked. See yo t six then!"
ham,If  lgh relly lod.. If  tlk spontneosly.. If  dont cre wht others feel..  re probbly with yor der &mp; best friends.. GOODEVENING Der..:)
ham,ITS  LPP TKE IT WITH YO.
ham,I dont hve ny of yor file in my bg..i ws in work when yo clled me.i 'll tell yo if i find nything in my room.
ham,I wn bt o erly lei... Me otside now wn b home so erly... Nev mind then...
spam,"For r chnce  win  еЈ250 csh every wk TXT: CTION  80608. T's&C's www.movietrivi.tv cstcre 08712405022, 1x150p/wk"
ham,I ws t bgis jz now wt... Bt now i'm wlking home oredi... МП so lte then reply... I oso sw  p dt i like bt din by... Where r М_ now? 
ham,"Wishing yo nd yor fmily Merry \X\"" ms nd HPPY NEW Yer in dvnce.."""
ham,t 7 we will go ok n.
ham,Yes I posted  cople of pics on fb. There's still snow otside o. I'm jst wking p :)
ham,S:-)if we hve one good prtnership going we will tke led:)
spam,RGENT! This is the 2nd ttempt  contct ! hve WON еЈ1250 CLL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. cllcost 150ppm mobilesvry. mxеЈ7. 50
ham,"Yeh, where's yor clss t?"
ham,No jst send  yo. Bec yo in temple n.
ham,"Yo ren't coming home between clss, right? I need  work ot nd shower!"
spam,Hi if r lookin 4 scy dytime fn wiv bsty mrried womn m free ll next week Cht now 2 sort time 09099726429 JNINExx CllsеЈ1/minMobsmoreLKPOBOX177HP51FL
ham,S bt mostly not like tht.
ham,МП v m fn...
ham,Dnno cos i ws v lte n when i rech they inside lredy... Bt we te spgeddies lor... It's e gls who r lghing t me lor...
ham,Gess who spent ll lst night phsing in nd ot of the forth dimension
ham,So now my dd is gonn cll fter he gets ot of work nd sk ll these crzy qestions.
ham,"Yes..bt they sid its IT.,"
ham,Very hrting n meningfl lines ever: \I compromised everything for my love
ham,Lmo!nice 1
ham,Gld  see yor reply.
spam,RGENT! We re trying  contct . dys drw shows tht yo hve won  еЈ800 prize GRNTEED. Cll 09050001295 from lnd line. Clim 21. Vlid 12hrs only
spam,Monthly pssword for wp. mobsi.com is 391784. se yor wp phone not PC.
ham,Nh db bt je still bff
ham,Pinfl words- \I thoght being Hppy ws the most ghest thing on Erth... Bt
ham,"Yeh, tht's fine! It's еЈ6  get in, is tht ok? "
ham,Lol where do  come p with these ides?
ham,"So mny people seems  be specil t first sight, Bt only very few will remin specil  yo till yor lst sight.. Mintin them till life ends.. Sh!js"
ham,"dy is \song dedicted dy..\"" Which song will  dedicte for me? Send this  ll r vlble frnds bt first rply me..."""
ham,Oky... We wit h
ham,Y lei?
ham,HI BBE  R MOST LIKELY  BE IN BED BT IM SO SORRY BOT NIGHT! I RELLY WNN SEE  MORROW SO CLL ME T 9. LOVE ME XXX
ham,lredy m sqtting is the new wy of wlking
ham,Do yo wnt bold 2 or bb rch
ham,Crmps spped. Going bck  sleep
spam,dys vodfone nmbers ending with 0089(my lst for digits) re selected  received  еЈ350 wrd. If yor nmber mtches plese cll 09063442151  clim yor еЈ350 wrd
spam,Free p ringne -sb  weekly ringne-get 1st week free-send SBPOLY  81618-?3 per week-sp sms-08718727870
ham,Nn sonthy soldh. Why boss?
ham,Bring tt cd don forget
spam,Snshine Qiz Wkly Q! Win  p Sony DVD plyer if  know which contry the lgrve is in? Txt nsr  82277. еЈ1.50 SP:Tyrone
ham,I don't know bt I'm rping ddes t poker
ham,Weightloss! No more girl friends. Mke lods of money on eby or something. nd give thnks  God.
ham,Ws gr8  see tht messge. So when r  leving? Congrts der. Wht school nd wt r r plns.
ham,МП etin lter bt i'm etin wif my frens now lei... МП going home first? 
ham,Finish lredy... Yr they keep sying i mshy... I so embrrssed ok...
ham,"Sorry mn, my stsh rn dry lst night nd I cn't pick p more  sndy"
ham,Hi priy re yo right. Wht docr sid p. Where re yo.
spam,"Free msg. Sorry,  service yo ordered from 81303 cold not be delivered s yo do not hve sfficient credit. Plese p p  receive the service."
ham,Ok...
ham,Plese sk mmmy  cll fther
ham,Cn come my room bt cnnot come my hose cos my hose still messy... Hh...
ham,I hve lost 10 kilos s of dy!
ham,Jst tste fish crry :-P
ham,Wht cn i do? Might ccidnt okplce between somewhere ghodbndr rd. Trffic moves slovely. So plz slip &mp; don't worry.
ham,Yn h.now М_ wkg where?btw if М_ go ns sc. МП wn specilise in wd?
ham,Yes! I m  one womn mn! Plese tell me yor likes nd dislikes in bed...
ham,Ws doing my test erlier. I pprecite yo. Will cll yo morrow.
ham,"How's my loverboy doing ? Wht does he do tht keeps him from coming  his Qeen, hmmm ? Doesn't he che  spek  me ? Miss me desprtely ?"
ham, meet other fren dn wn meet me h... Mz b  gy rite...
ham,"(No promises on when thogh, hven't even gotten dinner yet)"
ham,I got yor bck! Do yo hve ny dislikes in bed?
ham,o trns ot i hd stereo love on mi phone nder the nknown lbm.
spam,Hrd LIVE 121 cht jst 60p/min. Choose yor girl nd connect LIVE. Cll 09094646899 now! Chep Cht K's biggest live service. V BCM1896WC1N3XX
ham,Yeh I don't see why not
ham,sking do  knw them or nt? My be r frnds or clssmtes?
ham,"Sorry bot erlier. Ptting ot fires.re yo rond  tlk fter 9? Or do yo ctlly hve  life, lol!"
spam,WOW! The Boys R Bck. TKE THT 2007 K r. Win VIP Tickets & pre-book with VIP Clb. Txt CLB  81303. Trckmrqe Ltd info@vipclb4.
ham,"s in missionry hook p, doggy hook p, stnding...|"
ham,Then  better go sleep.. Dn distrb  lio..  wke p then msg me lor..
ham,"Fighting with the world is esy,  either win or lose bt fightng with some1 who is close   is dificlt if  lose -  lose if  win -  still lose."
ham,m wtching hose ‰ЫТ very entertining ‰ЫТ m getting the whole hgh lrie thing ‰ЫТ even with the stick ‰ЫТ indeed especilly with the stick.
ham,Thoght prps yo ment nother one. Goodo! I'll look morrow 
ham,"Hi Jon, Pete here, Ive bin 2 Spin recently & hv sm dinero left, Bill sid  or r еФrents myb interested in it, I hv 12,000pes, so rond еЈ48, tb, Jmes."
ham,There bold 2  &lt;#&gt; . Is tht yors
ham,Yo know there is. I shll spek  yo in  &lt;#&gt;  mintes then
ham,"\LRITE HNNY!WOT  P 2 2NITE? DIDNT END P GOIN DOWN WN JS D PB INSTED! JS CHILLIN T D MO IN ME BEDROOM!LOVE JEN XXX.\"""""
ham,I went  project centre
ham,s per yor reqest 'Mnglym (lipythe)' hs been set s yor cllertne for ll Cllers. Press *9  copy yor friends Cllertne
ham,Lol yeh t this point I gess not
ham,Doing project w frens lor. 
ham,Lol. Well qlity int bd t ll so i int complining
ham,"K, cn tht hppen night?"
spam,"Hi, this is Mndy Sllivn clling from HOTMIX FM...yo re chosen  receive еЈ5000.00 in or Ester Prize drw.....Plese telephone 09041940223  clim before 29/03/05 or yor prize will be trnsferred  someone else...."
ham,"I think we're going  finn's now, come"
ham,Why tired wht specil there yo hd
ham,I will come morrow di
ham,I cnt pick the phone right now. Pls send  messge
ham,K go nd sleep well. Tke rest:-).
ham, gys never invite me nywhere :(
spam,R GOING 2 BHMS! CllFREEFONE 08081560665 nd spek   live operr  clim either Bhms crise ofеЈ2000 CSH 18+only.  opt ot txt X  07786200117
ham,I cn do tht! I wnt  plese yo both inside nd otside the bedroom...
ham,"\EY! CLM DOWNON THECSTIONS.. ITXT  COS IWN KNOW WOT R DOIN T THEW/END... HVENTCN  IN GES..RING ME IF R P4 NETHING ST.LOVE J XXX.\"""""
ham,I love  wine nd dine my ldy!
spam,Someone hs concted or dting service nd entered yor phone becse they fncy yo! find ot who it is cll from lndline 09111030116. PoBox12n146tf15
ham,"IеХm cool t lv bt v.tired 2 cse i hve been doin lods of plnning ll wk, we hve got or socil services inspection t the nrsery! Tke cre & spk sn x."
ham,I don know ccont detils..i will sk my mom nd send yo.my mom is ot of rech now.
ham,I think  hve the wrong nmber.
ham,Feel Yorself Tht Yo re lwys Hppy.. Slowly It Becomes Yor Hbit &mp; Finlly It Becomes Prt Of Yor Life.. Follow It.. Hppy Morning &mp; Hve  Hppy Dy:)
ham,DO NOT B LTE LOVE MM
ham,Got it..mil pnren pr..
ham,* Ws thinking bot chckin r red green n blck trinners 2 sve crryin them bc on trin
ham,Give one miss from tht nmber plese
ham,Js cme bck fr lnch wif my sis only.  leh?
ham,How is yor schedle next week? I m ot of wn this weekend.
ham,Relly good:)dhnsh rocks once gin:)
ham,Lmo ok I wont be needing   do my hir nymore.
ham,"Miss y, need y, wnt y, love y."
ham,Sorry i'm not free...
ham,Do  ever get  song stck in yor hed for no reson nd it won't go wy til  listen  it like 5 times?
ham,Nt yet chikk..simple hbb..hw bt ?
ham,"Got r mil Dileep.thnk yo so mchnd look forwrd  lots of spport...very less contcts here,remember one vengopl yo mentioned.morrow if not lte,i shll try  come p till there.goodnight der."
ham,Sometimes Hert Remembrs someone Very mch... Forgets someone soon... Bcoz Hert will not like everyone. Bt liked ones will be Remembered Everytime... BSLVYL
ham,Joy's fther is John. Then John is the NME of Joy's fther. Mndn
spam,Hi 07734396839 IBH Csmer Loylty Offer: The NEW NOKI6600 Mobile from ONLY еЈ10 t TXTCTION!Txt word:STRT  No:81151 & get Yors Now!4T&
ham,Hi this is yije... It's regrding the 3230 textbook it's intro  lgorithms second edition... I'm selling it for $50...
spam,SMS CTION Yo hve won  Noki 7250i. This is wht yo get when yo win or FREE ction.  tke prt send Noki  86021 now. HG/Site342/2Lnds Row/W1JHL 16+
ham,"K, wnt s  come by now?"
ham,How. Its  little difficlt bt its  simple wy  enter this plce
ham,H... Both of s doing e sme thing. Bt i got tv 2 wtch.  cn thk of where 2 go night or  lredy hf smth in mind...
ham,Dont show yorself. How fr. Pt new pictres p on fcebook.
ham,Wtching tv now. I got new job :)
ham,"Good fternoon sexy bns! How goes the job serch ? I wke nd yo re my first thoght s lwys, my love. I wish yor fine nd hppy nd know I dore yo!"
ham,"I'm not coming over, do whtever yo wnt"
ham,"Its ok chikk, nd its my 1 of fvorite song..:-)"
ham,Did  see wht I posted on yor Fcebook?
spam,Cll FREEPHONE 0800 542 0578 now!
spam,By Spce Invders 4  chnce 2 win orig rcde Gme console. Press 0 for Gmes rcde (std WP chrge) See o2.co.k/gmes 4 Terms + settings. No prchse
ham,"7 wonders in My WORLD 7th Yo 6th r style 5th r smile 4th r Personlity 3rd r Ntre 2nd r SMS nd 1st \r Lovely Friendship\""... good morning der"""
spam,"Lon for ny prpose еЈ500 - еЈ75,000. Homeowners + Tennts welcome. Hve yo been previosly refsed? We cn still help. Cll Free 0800 1956669 or text bck 'help'"
spam,BIG BROTHER LERT! The compter hs selected  for 10k csh or #150 vocher. Cll 09064018838. NTT PO Box CRO1327 18+ BT Lndline Cost 150ppm mobiles vry
ham,";-( oh well, c  lter"
ham,My ncles in tlnt. Wish yo gys  gret semester.
ham,No der i do hve free messges withot ny rechrge. Hi hi hi
ham,"Dont serch love, let love find . Thts why its clled flling in love, bcoz  dont force yorself,  jst fll nd  know there is smeone  hold ... BSLVYL"
ham,I dn believe . I thk  ld him.
ham,"Do yo know why god creted gp between yor fingers..? So tht, One who is mde for yo comes &mp; fills those gps by holding yor hnd with LOVE..!"
ham,Yes:)sr in sn tv.:)lol.
ham,rn cn  trnsfr me d mt
ham,Tkin  shower now bt yeh I'll leve when I'm done
ham,m not working bt m p  eyes in philosophy so will text  lter when  bit more free for cht...
ham, hvenеХt lost me ill lwys b here 4.i didnеХt intend 2 hrt  bt I never knew how  felt bot me when Iws+mrine&thtеХs wht itried2tell rmom.i crebot 
spam,"WIN: We hve  winner! Mr. T. Foley won n iPod! More exciting prizes soon, so keep n eye on r mobile or visit www.win-82050.co.k"
ham,Yo bd girl. I cn still remember them
ham,How mch i gve  yo. Morning.
ham,"I hope yor lright bbe? I worry tht yo might hve felt  bit desprte when yo lerned the job ws  fke ? I m here witing when yo come bck, my love"
ham,"Hey, cn yo tell me blke's ddress? Crlos wnted me  meet him there bt I got lost nd he's not nswering his phone"
ham,Cn i get yor opinion on something first?
ham,Tht one week leve i pt know tht time. Why.
ham,"If we hit it off, yo cn move in with me :)"
ham,excellent. I spent  &lt;#&gt;  yers in the ir Force. Irq nd fghnistn. I m stble nd honest. do yo like trveling?
ham,I wnn wtch tht movie
ham,Ok lor thnx... МП in school?
ham,I'm in clss. Did yo get my text.
ham,The bs leves t  &lt;#&gt; 
ham,God bless.get good sleep my der...i will pry!
spam,dys Vod nmbers ending 1225 re selected  receive  еЈ50wrd. If yo hve  mtch plese cll 08712300220 qoting clim code 3100 stndrd rtes pp 
ham,Do hve  nice dy dy. I love yo so derly.
ham,iyo  bit pi seh М_ noe... Scred he dn rem who i m then die... Hee... Bt he become better lookin oredi leh...
ham,"ight, I'll sk  few of my roommtes"
ham,"Now, whts yor hose # gin ? nd do yo hve ny beer there ?"
ham,Do М_ ll wn 2 meet p n combine ll the prts? How's d rest of d project going?
ham,"\Getting tickets 4 wlsll te 6 th mrch. My mte is getting me them on st. ill py my tret. Wnt 2 go. Txt bk .Terry\"""""
ham,Yes we re chtting o.
ham,HI ITS JESS I DONT KNOW IF YO RE T WORK BT CLL ME WHEN  CN IM T HOME LL EVE. XXX
ham,Sin... ft meeting spervisor got work 2 do lio...  working now?
ham,re yo going  write ccn exm this week??
ham,Well i will wtch shrek in 3D!!B)
ham,m i tht mch dirty fellow?
ham,Dnno dt's wt he ld me. Ok lor...
ham,I'll probbly be by morrow (or even lter night if something's going on)
ham,I coldn't sy no s he is  dying mn nd I feel sd for him so I will go nd I jst wnted yo  know I wold probbly be gone lte in yor night
ham,If yo're thinking of lifting me one then no.
ham,Sme s ... Dn wn... Y  dn like me lredy h... Wt  doing now? Still eting?
ham,Sent me r emil id soon
ham,Wt mkes some people derer is not jst de hppiness dt  feel when  meet them bt de pin  feel when  miss dem!!!
ham,"Dde. Wht's p. How Teres. Hope yo hve been oky. When i didnt her from these people, i clled them nd they hd received the pckge since dec  &lt;#&gt; . Jst thot yo'ld like  know. Do hve  fntstic yer nd ll the best with yor reding. Pls if yo cn relly relly Bm first id for smle, then yor work is done."
ham,Hey gorgeos mn. My work mobile nmber is. Hve  good one bbe. Sqishy Mwhs.
ham,My i cll Yo lter Pls
spam,"Hottest pics stright  yor phone!! See me getting Wet nd Wnting, jst for yo xx Text PICS  89555 now! txt costs 150p texperr g696g 18 XxX"
ham,Tht's the wy yo shold sty oh.
ham,Hello- thnx for tking tht cll. I got  job! Strts on mondy!
ham,Wht time is r flight tmr?
ham,When shold I come over?
ham,I hve  rther prominent bite mrk on my right cheek
ham,* Will be september by then!
ham,re yo wet right now?
ham,nd how's yor hsbnd.
spam,"Hck Cht. Get bckdoor entry in 121 cht rooms t  frction of the cost. Reply NEO69 or cll 09050280520,  sbscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
ham,re we doing the norm morrow? I finish jst  4.15 cos of st tests. Need  sort librry stff ot t some point mo - got letter from dy - ccess til end mrch so i better get move on!
ham,Yeh. I got  list with only  nd Jonn if I'm feeling relly nti socil
ham,I m in yor office n.
ham,"\re yo comingdown lter?\"""""
ham,Sper d:)good replcement for mrli
ham,D is good good plyer.why he is nsold.
ham,Hi. || Do  wnt |  join me with sts lter? || Meeting them t five. || Cll  fter clss.
ham,Its on in englnd! Bt telly hs decided it won't let me wtch it nd mi nd elliot were kissing! Dmn it!
spam,"FREE NOKI Or Morol with p 12mths 1/2price linerentl, 500 FREE x-net mins&100txt/mth FREE B'oth*. Cll Mobilepd8 on 08001950382 or cll 2opt/D3WV"
ham,I dont wnt  her philosophy. Jst sy wht hppen
ham,Yo got job in wipro:)yo will get every thing in life in 2 or 3 yers.
ham,Then cnt get d lpp? My mtric crd wif М_ lei... 
ham,Dnno d next show ft 6 is 850.  pyoh got 650.
spam,"This is the 2nd time we hve tried 2 contct .  hve won the 750 Pond prize. 2 clim is esy, cll 08718726970 NOW! Only 10p per min. BT-ntionl-rte "
ham,I jst mde some pyments so dont hve tht mch. Sorry. Wold yo wnt it fedex or the other wy.
ham,They did't ply one dy lst yer know even thogh they hve very good tem.. Like indi.
ham,K.:)yo re the only girl witing in reception h?
ham,"Sy this slowly.? GOD,I LOVE YO &mp; I NEED YO,CLEN MY HERT WITH YOR BLOOD.Send this  Ten specil people &mp;  c mircle morrow, do it,pls,pls do it..."
ham,I hte when she does this. She trns wht shold be  fn shopping trip in n nnoying dy of how everything wold look in her hose.
ham,"Sir, i m witing for yor cll."
ham,Wht's p. Do yo wnt me  come online?
ham,"It cold work, we'll rech  consenss t the next meeting"
ham,iyh then i wit lor. Then  entertin me. Hee...
ham,"The lst thing i ever wnted  do ws hrt yo. nd i didn't think it wold hve. Yo'd lgh, be embrssed, delete the tg nd keep going. Bt s fr s i knew, it wsn't even p. The fct tht yo even felt like i wold do it  hrt yo shows yo relly don't know me t ll. It ws messy wednesdy, bt it wsn't bd. The problem i hve with it is yo HVE the time  clen it, bt yo choose not . Yo skype, yo tke pictres, yo sleep, yo wnt  go ot. I don't mind  few things here nd there, bt when yo don't mke the bed, when yo throw lndry on p of it, when i cn't hve  friend in the hose becse i'm embrssed tht there's nderwer nd brs strewn on the bed, pillows on the floor, tht's something else. Yo sed  be good bot t lest mking the bed."
ham,I'll let yo know when it kicks in
ham,Yo cll him now ok i sid cll him
ham,Cll  the nmber which is vilble in ppointment. nd sk  connect the cll  wheed fthim.
ham,Or М_ go by wif him then i meet М_ lter cn?
ham,Mmmm ... Fck ... Not fir ! Yo know my weknesses ! *grins* *pshes yo  yor knee's* *exposes my belly nd plls yor hed  it* Don't forget ... I know yors o *wicked smile*
ham,dy my system sh get redy.ll is well nd i m lso in the deep well
ham,Mom wnts  know where yo t
ham,"ight, I'll text yo when I'm bck"
ham,Dont know spports ss nd srt i thnk. I think ps3 cn ply throgh sb o
ham,Oh ok i didnt know wht yo ment. Yep i m bby jontin
spam,Yo hve WON  grnteed еЈ1000 csh or  еЈ2000 prize. clim yr prize cll or csmer service representtive on
spam,Wold yo like  see my XXX pics they re so hot they were nerly bnned in the k!
spam,HMV BONS SPECIL 500 ponds of genine HMV vochers  be won. Jst nswer 4 esy qestions. Ply Now! Send HMV  86688 More info:www.100percent-rel.com
ham,Wtching tv now. I got new job :)
ham,This pen thing is beyond  joke. Wont  Biro do? Don't do  msters s cn't do this ever gin! 
ham,I M T  PRTY WITH LEX NICHOLS
spam, hve  secret dmirer who is looking 2 mke contct with -find ot who they R*revel who thinks R so specil-cll on 09058094594
ham,Jst seeing yor missed cll my der brother. Do hve  gr8 dy.
ham,Ok.. МП finishing soon?
ham,"Sorry, I cn't help yo on this."
ham,"Come  me, slve. Yor doing it gin ... Going in yor shell nd nconsciosly voiding me ... Yo re mking me nhppy :-("
ham,I love yor ss! Do yo enjoy doggy style? :)
ham,I think sking for  gym is the excse for lzy people. I jog.
